Candidate_Rank,LGA,Ward,Demand_ID,Candidate_Node,Catchment_Population_15min,New_PHC_Ratio_per_10000
1,Sumaila,Massu,KANO_DMD_16232,5173959510,1494.2378566265106,6.692374949311387
2,Wudil,Darki,KANO_DMD_10214,2874185547,56757.72641825676,0.17618746611357194
3,Dawakin Kudu,Tsakuwa,KANO_DMD_08521,2968317308,148915.5815384388,0.06715214013665019
4,Bebeji,Ranka,KANO_DMD_12241,8343519364,3247.7172634601593,3.0790857666427134
5,Dawakin Kudu,Dawakiji,KANO_DMD_07496,12604995590,338806.353777647,0.029515385082072083
6,Rogo,Rogo Ruma,KANO_DMD_10791,13521118499,6141.10724568367,1.6283708458321724
7,Bunkure,Kulluwa,KANO_DMD_10713,2824519208,7447.256683588028,1.3427763302475673
8,Warawa,Yangizo,KANO_DMD_06280,2760198171,14556.569196939468,0.6869750601743788
9,Rano,Saji,KANO_DMD_13161,2764325825,2566.017446041107,3.8970896380413
10,Rogo,Falgore,KANO_DMD_13860,4259347630,4192.449396848679,2.385240477205678
11,Kiru,Baawa,KANO_DMD_10131,5917809154,10204.757554531097,0.9799350887625761
12,Dawakin Kudu,Dabar Kwari,KANO_DMD_09214,2824667834,57445.77025961876,0.17407722021667196
13,Dambatta,Goron Maje,KANO_DMD_00129,3438085328,7016.903218984604,1.4251301019721163
14,Tudun Wada,Baburi,KANO_DMD_15837,2991634801,14713.546629548073,0.6796457884544149
15,Tsanyawa,Daddarawa,KANO_DMD_02142,2843846776,1519.3225212097168,6.5818809768170805
16,Tudun Wada,Nata-Ala,KANO_DMD_14874,5255073329,13777.369081497192,0.7258279821674992
17,Garko,Zakarawa,KANO_DMD_11042,4348026559,5189.101062774658,1.927116060956599
18,Sumaila,Sitti,KANO_DMD_15705,2752211566,6130.965368509293,1.6310645059852034
19,Gaya,Gamoji,KANO_DMD_07405,2753301267,5021.825921297073,1.9913075755157057
20,Sumaila,Magami,KANO_DMD_15936,2897362824,15767.200003862381,0.6342280175015456
