Scenario,New_PHCs,Method,Population_Weighted_2SFCA,Relative_Gain_Pct,Median,P10,P90
Baseline,0,Binary_15min,0.8438488753787575,0.0,0.7850745589839172,0.3334194031627778,1.483967925888863
Baseline,0,E2SFCA_3Zone,0.8438488753787574,0.0,0.7902243229842221,0.2887649032334258,1.5287428393190765
Baseline,0,Gaussian_Moderate,0.8438488753787575,0.0,0.7939360198233503,0.3127923234522168,1.495994890917196
Baseline,0,Gaussian_Strong,0.8438488753787574,0.0,0.7942773143181516,0.2862223238460483,1.5245798164850222
Top_5_New_PHCs,5,Binary_15min,0.8465125397581096,0.3156565656565563,0.7860415090500119,0.340746597815816,1.487334948527018
Top_5_New_PHCs,5,E2SFCA_3Zone,0.8465125397581096,0.3156565656565695,0.7913681618599031,0.2910008639939735,1.5297244848998988
Top_5_New_PHCs,5,Gaussian_Moderate,0.8465125397581096,0.3156565656565563,0.7945486333371647,0.3167486997955449,1.497266385446103
Top_5_New_PHCs,5,Gaussian_Strong,0.8465125397581096,0.3156565656565695,0.7948930049194891,0.2884955536783911,1.525402522441114
Top_10_New_PHCs,10,Binary_15min,0.8491762041374616,0.6313131313131126,0.7881609047247905,0.3422722730315892,1.4887198138855116
Top_10_New_PHCs,10,E2SFCA_3Zone,0.8491762041374618,0.631313131313139,0.7937904489803211,0.2961211427646166,1.5317808529818506
Top_10_New_PHCs,10,Gaussian_Moderate,0.8491762041374616,0.6313131313131126,0.7959872801207694,0.3198579100969777,1.5009722998358954
Top_10_New_PHCs,10,Gaussian_Strong,0.8491762041374618,0.631313131313139,0.7966963523684187,0.2917277482770132,1.5294931398338518
Top_20_New_PHCs,20,Binary_15min,0.854503532896166,1.2626262626262514,0.797137686479485,0.355800690377935,1.5062216876192405
Top_20_New_PHCs,20,E2SFCA_3Zone,0.854503532896166,1.2626262626262648,0.8044622512671133,0.3164395053887356,1.5396493148219073
Top_20_New_PHCs,20,Gaussian_Moderate,0.854503532896166,1.2626262626262514,0.8079105293366494,0.3359854982192931,1.5186087059483724
Top_20_New_PHCs,20,Gaussian_Strong,0.854503532896166,1.2626262626262648,0.8063840530273911,0.3116543983107154,1.5426966258532968
