Candidate_Rank,Candidate_Node,Demand_Nodes_Within_15min,Catchment_Population,Catchment_Population_15min,Absolute_Error
1,5173959510,1,1494.2378566265106,1494.2378566265106,0.0
2,2874185547,37,56757.72641825676,56757.72641825676,0.0
3,2968317308,85,148915.5815384388,148915.5815384388,0.0
4,8343519364,2,3247.7172634601593,3247.7172634601598,4.547473508864641e-13
5,12604995590,147,338806.353777647,338806.353777647,0.0
6,13521118499,8,6141.10724568367,6141.10724568367,0.0
7,2824519208,2,7447.256683588028,7447.256683588028,0.0
8,2760198171,10,14556.569196939468,14556.569196939468,0.0
9,2764325825,2,2566.017446041107,2566.017446041107,0.0
10,4259347630,3,4192.449396848679,4192.449396848679,0.0
11,5917809154,23,10204.757554531097,10204.757554531096,1.8189894035458565e-12
12,2824667834,42,57445.77025961876,57445.77025961876,0.0
13,3438085328,10,7016.903218984604,7016.903218984604,0.0
14,2991634801,21,14713.546629548073,14713.546629548073,0.0
15,2843846776,2,1519.3225212097168,1519.3225212097168,0.0
16,5255073329,32,13777.369081497192,13777.369081497192,0.0
17,4348026559,9,5189.101062774658,5189.101062774658,0.0
18,2752211566,10,6130.965368509293,6130.965368509293,0.0
19,2753301267,3,5021.825921297073,5021.825921297073,0.0
20,2897362824,68,15767.200003862381,15767.20000386238,1.8189894035458565e-12
