Ward_ID,LGA,Ward,Population,Routing_Cells,Weighted_2SFCA_per_10000,Median_2SFCA_per_10000,Min_2SFCA_per_10000,Max_2SFCA_per_10000,Mean_Accessible_PHC_Count,Zero_Access_Population,Zero_Access_Pct,2SFCA_Rank,Low_Access_Rank,2SFCA_Quintile
KANO_W001,Ajingi,Ajingi,25614.35702443123,14,1.249026298189663,1.1685649609258144,0.7091829507420757,1.3780604941071997,18.648042332055606,0.0,0.0,81,404,Very High
KANO_W002,Ajingi,Balare,24040.603971242905,44,0.9508658562019426,0.9581297709902089,0.1288392595203522,1.471291224459141,9.334717175819675,0.0,0.0,174,311,High
KANO_W003,Ajingi,Chula,24778.70829319954,36,1.075751404658142,1.104766234866204,0.5043418278782285,1.462167770915119,12.091236897071632,0.0,0.0,123,362,High
KANO_W004,Ajingi,Dabin-Kanawa,33965.52364397049,48,0.6863516164453866,0.7113688802592291,0.18204432869439643,0.9954548942112893,6.983952120172853,0.0,0.0,360,125,Low
KANO_W005,Ajingi,Dundun,28836.420677423477,51,0.7293794891484225,0.6937175891309859,0.0721395802145623,1.3687601505756917,12.517301796431171,0.0,0.0,324,161,Low
KANO_W006,Ajingi,Gafasa,33515.38449525833,85,0.7658389888214393,0.7685992083599735,0.12571423406456092,1.2900396870143824,6.303368542551729,0.0,0.0,297,188,Low
KANO_W007,Ajingi,Gurduba,20355.09816479683,23,1.0275009895420688,0.9819374974991696,0.10152643999247117,1.3537524144650124,9.764075615292475,0.0,0.0,145,340,High
KANO_W008,Ajingi,Kunkurawa,37590.09017539024,44,0.7829101559108625,0.7942300325204006,0.273777380727526,1.3780604941071997,9.608224991753234,0.0,0.0,280,205,Moderate
KANO_W009,Ajingi,Toranke,68323.73483967781,140,0.7356452414574877,0.5508045546167861,0.0721395802145623,2.131809761791,3.847252465781825,0.0,0.0,322,163,Low
KANO_W010,Ajingi,Unguwar Bai,39893.87610626221,96,0.983392806548527,0.9558304129889139,0.07324413359060016,1.462167770915119,8.588540183771292,0.0,0.0,166,319,High
KANO_W011,Albasu,Albasu Central,34472.35253047943,58,1.1118553024491276,0.8450716865105761,0.17221614251879613,1.8269800087324368,9.726341742880054,0.0,0.0,111,374,High
KANO_W012,Albasu,Bataiya,33287.21682691574,46,0.815415904226729,0.7643408524230183,0.5441307525495511,1.3104963187535743,7.5600283718613195,0.0,0.0,253,232,Moderate
KANO_W013,Albasu,Daho,27705.09175848961,54,1.1972759421110455,1.0767945536561259,0.09679392365660427,1.8269800087324368,6.808271782116365,0.0,0.0,90,395,Very High
KANO_W014,Albasu,Duja,9637.503433704376,24,0.5608424032878788,0.6295740557815162,0.22375687963941934,0.8345744393620763,6.243380044198453,0.0,0.0,423,62,Very Low
KANO_W015,Albasu,Fanda,33194.64140033722,43,0.7842557025107033,0.666880888718152,0.08157486694501088,1.2194383148865298,11.757314057829932,0.0,0.0,278,207,Moderate
KANO_W016,Albasu,Faragai,32620.26916360855,26,1.0905532217451135,0.8782649373614538,0.6047839321254832,1.3541847835825254,16.00744276437389,0.0,0.0,120,365,High
KANO_W017,Albasu,Gagarame,49153.09963965416,107,0.5510798265821298,0.5163000141867081,0.15035545996557428,1.1670845704443138,8.014404774657873,0.0,0.0,427,58,Very Low
KANO_W018,Albasu,Hungu,23759.600473165512,46,1.0415794435230294,0.901421792552163,0.17521188466641818,1.5861889452986815,16.945463342065608,0.0,0.0,138,347,High
KANO_W019,Albasu,Saya-Saya,37297.650851249695,55,0.9358274708570408,0.8420476418720136,0.31720541232101596,1.501650604773634,11.700931269717545,0.0,0.0,180,305,High
KANO_W020,Albasu,Tsangaya,42294.02999138832,63,0.7233903746962078,0.6797009528166297,0.09679392365660427,1.1670845704443138,6.503436672049914,0.0,0.0,328,157,Low
KANO_W021,Bagwai,Bagwai,36794.92509293556,22,1.1033412850536484,0.9018950044188492,0.33416658058829957,1.518935757134644,14.024901052638311,0.0,0.0,116,369,High
KANO_W022,Bagwai,Dangada,35835.846756219864,59,1.4220744991271874,1.4381134835081126,0.47758446077719036,2.594804951462764,13.127962483147915,0.0,0.0,44,441,Very High
KANO_W023,Bagwai,Gadanya,36287.73974633217,72,1.1076207451480653,1.1252992968621762,0.4915806758914332,1.5889721970723816,12.15672890166944,0.0,0.0,113,372,High
KANO_W024,Bagwai,Gogori,34379.87130236626,69,0.9074675402921691,1.1522275896862508,0.40972659060679145,1.8670922301515231,9.08417076509124,0.0,0.0,195,290,Moderate
