Ward_ID,LGA,Ward,Demand_Population,Weighted_Mean_Time_Min,Pct_Within_5min,Pct_Within_10min,P90_Cell_Time_Min,Population,Weighted_2SFCA_per_10000,Mean_Accessible_PHC_Count,Zero_Access_Pct,Population_Difference,Population_2025,Supply_Underserved,Travel_Underserved,Coverage_Underserved,Underserved_Dimensions,Underserved_Class
KANO_W001,Ajingi,Ajingi,25614.35702443123,4.186475247487638,98.93353149394709,100.0,6.261289254870718,25614.35702443123,1.249026298189663,18.648042332055606,0.0,0.0,25614.35702443123,False,True,False,1,Single-Dimension Underserved
KANO_W002,Ajingi,Balare,24040.603971242905,2.797356611270803,86.1841631780315,99.12808972822356,6.5525022935874375,24040.603971242905,0.9508658562019426,9.334717175819677,0.0,0.0,24040.603971242905,False,False,False,0,Relatively Better Served
KANO_W003,Ajingi,Chula,24778.70829319954,2.730665422830268,92.76032201884924,100.0,6.595204795215413,24778.70829319954,1.075751404658142,12.091236897071632,0.0,0.0,24778.70829319954,False,False,False,0,Relatively Better Served
KANO_W004,Ajingi,Dabin-Kanawa,33965.52364397049,3.101329549192611,86.86441779974207,99.33365816153425,6.314936964931654,33965.52364397049,0.6863516164453866,6.983952120172853,0.0,0.0,33965.52364397049,False,False,False,0,Relatively Better Served
KANO_W005,Ajingi,Dundun,28836.42067742348,2.9920783305804988,78.22460576317339,100.0,7.419853465369338,28836.42067742348,0.7293794891484225,12.517301796431171,0.0,0.0,28836.42067742348,False,False,False,0,Relatively Better Served
KANO_W006,Ajingi,Gafasa,33515.38449525833,3.904167959791269,75.30582842529883,91.58952394521776,10.727071229300265,33515.38449525833,0.7658389888214393,6.303368542551729,0.0,0.0,33515.38449525833,False,True,False,1,Single-Dimension Underserved
KANO_W007,Ajingi,Gurduba,20355.09816479683,2.5647308625254888,77.28796654845853,100.0,5.604545202794328,20355.09816479683,1.0275009895420688,9.764075615292477,0.0,0.0,20355.09816479683,False,False,False,0,Relatively Better Served
KANO_W008,Ajingi,Kunkurawa,37590.09017539024,1.998348823995009,96.84398665442644,100.0,6.774971809479155,37590.09017539024,0.7829101559108625,9.608224991753234,0.0,0.0,37590.09017539024,False,False,False,0,Relatively Better Served
KANO_W009,Ajingi,Toranke,68323.73483967781,5.647460943378123,50.00362953687828,83.68394663776625,11.407562973128572,68323.73483967781,0.7356452414574877,3.847252465781825,0.0,0.0,68323.73483967781,False,True,True,2,Compound Underserved
KANO_W010,Ajingi,Unguwar Bai,39893.87610626221,3.4580811307952373,78.28623543471767,97.27205566512713,9.077001740169456,39893.87610626221,0.983392806548527,8.588540183771292,0.0,0.0,39893.87610626221,False,False,False,0,Relatively Better Served
KANO_W011,Albasu,Albasu Central,34472.35253047943,2.779743041603884,92.28091100772872,95.75449287553695,13.607166205232009,34472.35253047943,1.1118553024491276,9.726341742880054,0.0,0.0,34472.35253047943,False,False,False,0,Relatively Better Served
KANO_W012,Albasu,Bataiya,33287.21682691574,3.0011627654542505,76.21743909797468,100.0,5.587024194164705,33287.21682691574,0.815415904226729,7.560028371861319,0.0,0.0,33287.21682691574,False,False,False,0,Relatively Better Served
KANO_W013,Albasu,Daho,27705.09175848961,1.8823647499743847,96.41218609524016,100.0,4.0397076533379375,27705.09175848961,1.1972759421110457,6.808271782116365,0.0,0.0,27705.09175848961,False,False,False,0,Relatively Better Served
KANO_W014,Albasu,Duja,9637.503433704376,4.24075672923304,68.48331278253819,95.0719644611712,9.141704240790736,9637.503433704376,0.5608424032878788,6.243380044198453,0.0,0.0,9637.503433704376,True,True,False,2,Compound Underserved
KANO_W015,Albasu,Fanda,33194.64140033722,2.394455913456404,81.5817657214139,100.0,8.246849007784403,33194.64140033722,0.7842557025107033,11.757314057829932,0.0,0.0,33194.64140033722,False,False,False,0,Relatively Better Served
KANO_W016,Albasu,Faragai,32620.26916360855,1.5384373487192926,90.8630154195356,100.0,5.470526316480906,32620.26916360855,1.0905532217451137,16.00744276437389,0.0,0.0,32620.26916360855,False,False,False,0,Relatively Better Served
KANO_W017,Albasu,Gagarame,49153.09963965416,4.898974886609175,46.56606405492419,96.34514331028954,8.946737699404755,49153.09963965416,0.5510798265821298,8.014404774657873,0.0,0.0,49153.09963965416,True,True,True,3,Critical Underserved
KANO_W018,Albasu,Hungu,23759.600473165512,2.2561394826964376,85.01590299279435,100.0,7.112957351949412,23759.600473165512,1.0415794435230294,16.945463342065608,0.0,0.0,23759.600473165512,False,False,False,0,Relatively Better Served
KANO_W019,Albasu,Saya-Saya,37297.650851249695,3.2855763939284386,83.54513332782844,99.90257340942256,7.607735350146828,37297.650851249695,0.9358274708570408,11.700931269717543,0.0,0.0,37297.650851249695,False,False,False,0,Relatively Better Served
KANO_W020,Albasu,Tsangaya,42294.02999138832,2.7363244683215906,83.29116400099032,94.21916506709825,8.793249209460061,42294.02999138832,0.7233903746962078,6.503436672049914,0.0,0.0,42294.02999138832,False,False,False,0,Relatively Better Served
KANO_W021,Bagwai,Bagwai,36794.92509293556,1.3246923715942116,99.93901613947916,100.0,3.879090958778161,36794.92509293556,1.1033412850536484,14.024901052638311,0.0,0.0,36794.92509293556,False,False,False,0,Relatively Better Served
KANO_W022,Bagwai,Dangada,35835.846756219864,3.3728311796309574,67.28193114990853,100.0,6.566834574631984,35835.846756219864,1.4220744991271874,13.127962483147916,0.0,0.0,35835.846756219864,False,False,True,1,Single-Dimension Underserved
KANO_W023,Bagwai,Gadanya,36287.73974633217,4.358938749153155,60.79706450988053,97.27586775915356,7.3309529169035965,36287.73974633217,1.1076207451480653,12.15672890166944,0.0,0.0,36287.73974633217,False,True,True,2,Compound Underserved
KANO_W024,Bagwai,Gogori,34379.87130236626,3.262358702103477,70.36822137307533,100.0,7.707065328477912,34379.87130236626,0.9074675402921693,9.08417076509124,0.0,0.0,34379.87130236626,False,False,False,0,Relatively Better Served
KANO_W025,Bagwai,Kiyawa,34375.45455479622,1.8262144125833444,99.02579601190634,100.0,3.830865441529393,34375.45455479622,2.0722743444759795,23.90078819414573,0.0,0.0,34375.45455479622,False,False,False,0,Relatively Better Served
KANO_W026,Bagwai,Kwajale,36255.36284780502,1.9838534443338909,92.56024398745863,100.0,4.987008015861403,36255.36284780502,1.83717998036752,18.152962654072304,0.0,0.0,36255.36284780502,False,False,False,0,Relatively Better Served
KANO_W027,Bagwai,Rimin Dako,39724.70056796074,1.6617782112895425,95.99232969008452,100.0,4.8952540295529126,39724.70056796074,2.0119281643151816,25.872432138254386,0.0,0.0,39724.70056796074,False,False,False,0,Relatively Better Served
KANO_W028,Bagwai,Romo,31253.1290242672,3.596825901801437,74.1961696831328,100.0,6.176250930459941,31253.1290242672,1.680391760268522,14.24558132967551,0.0,0.0,31253.1290242672,False,False,False,0,Relatively Better Served
KANO_W029,Bagwai,Sare-Sare,29383.2672791481,2.697008300293876,86.66741779501295,100.0,6.027268871646273,29383.2672791481,0.9225210180725014,10.23584058824034,0.0,0.0,29383.2672791481,False,False,False,0,Relatively Better Served
KANO_W030,Bagwai,Wuro Bagga,33477.731825351715,1.6830662375722731,100.0,100.0,3.2528814195846527,33477.731825351715,0.9574496988588244,10.33862406195486,0.0,0.0,33477.731825351715,False,False,False,0,Relatively Better Served
KANO_W031,Bebeji,Anadariya,8706.878468036652,2.531069401943014,61.8540845625618,100.0,5.254562427309917,8706.878468036652,0.7549195935777219,6.367084596559771,0.0,0.0,8706.878468036652,False,False,True,1,Single-Dimension Underserved
KANO_W032,Bebeji,Baguda,15720.371176481249,3.6120037840980816,76.01955605072848,100.0,6.108048591063225,15720.371176481249,1.1047051903327771,7.980320652361434,0.0,0.0,15720.371176481249,False,False,False,0,Relatively Better Served
KANO_W033,Bebeji,Bebeji,58952.98099374771,1.8073715924843368,85.86085030800653,94.7220367446949,11.162549009385865,58952.98099374771,0.8443131884720595,8.420806464749074,0.0,0.0,58952.98099374771,False,False,False,0,Relatively Better Served
KANO_W034,Bebeji,Damau,21675.213315963745,5.266829764519713,54.01452494444575,77.87303536007877,11.227279231464042,21675.213315963745,0.6338852674841902,5.728479334610117,0.0,0.0,21675.213315963745,True,True,True,3,Critical Underserved
