Ward_ID,LGA,Ward,Demand_Population,Routing_Cells,Weighted_Mean_Time_Min,Median_Cell_Time_Min,P90_Cell_Time_Min,Max_Time_Min,Pop_Within_5min,Pct_Within_5min,Pop_Within_10min,Pct_Within_10min,Pop_Within_15min,Pct_Within_15min,Pop_Within_30min,Pct_Within_30min,Ward_Raster_Population,Population_Difference,Population_Difference_Pct,Poor_Access_Rank
KANO_W001,Ajingi,Ajingi,25614.35702443123,14,4.186475247487638,3.6255155110831403,6.261289254870718,6.771019171978843,25341.187973737717,98.93353149394709,25614.35702443123,100.0,25614.35702443123,100.0,25614.35702443123,100.0,25614.35702443123,0.0,0.0,60
KANO_W002,Ajingi,Balare,24040.603971242905,44,2.797356611270803,2.5961191173593834,6.5525022935874375,12.60645798764369,20719.193355560303,86.1841631780315,23830.99147582054,99.12808972822356,24040.603971242905,100.0,24040.603971242905,100.0,24040.603971242905,0.0,0.0,189
KANO_W003,Ajingi,Chula,24778.70829319954,36,2.7306654228302674,3.9726779853607592,6.595204795215413,8.115275656714944,22984.809604883194,92.76032201884924,24778.70829319954,100.0,24778.70829319954,100.0,24778.70829319954,100.0,24778.70829319954,0.0,0.0,201
KANO_W004,Ajingi,Dabin-Kanawa,33965.52364397049,48,3.101329549192611,3.831727203601705,6.314936964931654,10.8558335335355,29503.954365968704,86.86441779974207,33739.19714927673,99.33365816153423,33965.52364397049,100.0,33965.52364397049,100.0,33965.52364397049,0.0,0.0,164
KANO_W005,Ajingi,Dundun,28836.420677423477,51,2.9920783305804988,3.5023310839552946,7.419853465369338,9.042095858865304,22557.176391124725,78.22460576317339,28836.420677423477,100.0,28836.420677423477,100.0,28836.420677423477,100.0,28836.42067742348,-3.637978807091713e-12,-1.2615916683237833e-14,170
KANO_W006,Ajingi,Gafasa,33515.38449525833,85,3.9041679597912693,4.144326942234114,10.727071229300265,13.660879893135172,25239.037944078445,75.30582842529883,30696.581107616425,91.58952394521775,33515.38449525833,100.0,33515.38449525833,100.0,33507.721991539,7.662503719329834,0.02286787422094729,87
KANO_W007,Ajingi,Gurduba,20355.09816479683,23,2.5647308625254888,2.3676283588121283,5.604545202794328,8.081585508797835,15732.041460514069,77.28796654845853,20355.09816479683,100.0,20355.09816479683,100.0,20355.09816479683,100.0,20345.870816469196,9.22734832763308,0.04535243741036584,230
KANO_W008,Ajingi,Kunkurawa,37590.09017539024,44,1.9983488239950087,2.4749036920131404,6.774971809479155,9.41593240582351,36403.7419128418,96.84398665442644,37590.09017539024,100.0,37590.09017539024,100.0,37590.09017539024,100.0,37590.09017539024,0.0,0.0,297
KANO_W009,Ajingi,Toranke,68323.73483967781,140,5.647460943378123,7.917713911152286,11.407562973128572,14.314714640179034,34164.34725499153,50.00362953687828,57175.99780416489,83.68394663776625,68323.73483967781,100.0,68323.73483967781,100.0,68323.73483967781,0.0,0.0,17
KANO_W010,Ajingi,Unguwar Bai,39893.87610626221,96,3.4580811307952373,3.6053651923947583,9.077001740169457,13.653220568239929,31231.413772583008,78.28623543471767,38805.59337306023,97.27205566512713,39893.87610626221,100.0,39893.87610626221,100.0,39893.87610626221,0.0,0.0,124
KANO_W011,Albasu,Albasu Central,34472.35253047943,58,2.779743041603884,4.051843976830624,13.607166205232007,14.518252468984857,31811.40096092224,92.28091100772872,33008.82634782791,95.75449287553695,34472.35253047943,100.0,34472.35253047943,100.0,34472.35253047943,0.0,0.0,193
KANO_W012,Albasu,Bataiya,33287.21682691574,46,3.0011627654542505,3.437811375501533,5.587024194164705,7.953707637047529,25370.664212465286,76.21743909797468,33287.21682691574,100.0,33287.21682691574,100.0,33287.21682691574,100.0,33287.21682691574,0.0,0.0,169
KANO_W013,Albasu,Daho,27705.09175848961,54,1.8823647499743852,1.2045912054187464,4.0397076533379375,9.815790098686854,26711.084624052048,96.41218609524017,27705.09175848961,100.0,27705.09175848961,100.0,27705.09175848961,100.0,27696.61545825005,8.47630023955935,0.030604101256836047,312
KANO_W014,Albasu,Duja,9637.503433704376,24,4.24075672923304,4.9899550544371545,9.141704240790737,12.456746044848042,6600.081620931625,68.48331278253819,9162.563839435577,95.07196446117119,9637.503433704376,100.0,9637.503433704376,100.0,9637.503433704376,0.0,0.0,58
KANO_W015,Albasu,Fanda,33194.64140033722,43,2.3944559134564036,4.023638845748923,8.246849007784403,8.766606437289196,27080.774579286575,81.5817657214139,33194.64140033722,100.0,33194.64140033722,100.0,33194.64140033722,100.0,33194.64140033722,0.0,0.0,248
KANO_W016,Albasu,Faragai,32620.26916360855,26,1.5384373487192926,1.977762475625992,5.470526316480906,6.074373400010233,29639.76020002365,90.86301541953559,32620.26916360855,100.0,32620.26916360855,100.0,32620.26916360855,100.0,32620.26916360855,0.0,0.0,365
KANO_W017,Albasu,Gagarame,49153.09963965416,107,4.8989748866091745,5.398264131326894,8.946737699404755,11.031765556786821,22888.663863182068,46.56606405492419,47356.624289274216,96.34514331028954,49153.09963965416,100.0,49153.09963965416,100.0,49153.09963965416,0.0,0.0,29
KANO_W018,Albasu,Hungu,23759.600473165512,46,2.2561394826964376,2.7201044803956425,7.112957351949412,9.946568077982073,20199.438889741898,85.01590299279435,23759.600473165512,100.0,23759.600473165512,100.0,23759.600473165512,100.0,23759.600473165512,0.0,0.0,263
KANO_W019,Albasu,Saya-Saya,37297.650851249695,55,3.2855763939284386,4.153551795808071,7.607735350146828,10.695832787872297,31160.372131824493,83.54513332782844,37261.31302165985,99.90257340942257,37297.650851249695,100.0,37297.650851249695,100.0,37297.650851249695,0.0,0.0,147
KANO_W020,Albasu,Tsangaya,42294.02999138832,63,2.7363244683215906,2.047943107956879,8.793249209460061,11.031765556786821,35227.18988275528,83.29116400099032,39849.0819311142,94.21916506709825,42294.02999138832,100.0,42294.02999138832,100.0,42276.225256204605,17.80473518371582,0.04211524343958011,198
KANO_W021,Bagwai,Bagwai,36794.92509293556,22,1.3246923715942116,1.7141609832461684,3.879090958778161,5.4718029226205145,36772.48612713814,99.93901613947915,36794.92509293556,100.0,36794.92509293556,100.0,36794.92509293556,100.0,36794.92509293556,0.0,0.0,386
KANO_W022,Bagwai,Dangada,35835.846756219864,59,3.3728311796309574,3.7486567903415606,6.566834574631984,9.779026066324137,24111.049741506577,67.28193114990853,35835.846756219864,100.0,35835.846756219864,100.0,35835.846756219864,100.0,35835.846756219864,0.0,0.0,133
KANO_W023,Bagwai,Gadanya,36287.73974633217,72,4.358938749153155,3.9163461200982224,7.3309529169035965,10.003455631319985,22061.880542755127,60.79706450988053,35299.21372842789,97.27586775915357,36287.73974633217,100.0,36287.73974633217,100.0,36287.73974633217,0.0,0.0,50
KANO_W024,Bagwai,Gogori,34379.87130236626,69,3.262358702103477,3.535422217597056,7.7070653284779125,9.800877909610437,24192.503945827484,70.36822137307533,34379.87130236626,100.0,34379.87130236626,100.0,34379.87130236626,100.0,34379.87130236626,0.0,0.0,151
KANO_W025,Bagwai,Kiyawa,34375.45455479622,39,1.8262144125833444,1.8665095072541282,3.830865441529393,5.3670991144204026,34040.56750559807,99.02579601190634,34375.45455479622,100.0,34375.45455479622,100.0,34375.45455479622,100.0,34375.45455479622,0.0,0.0,320
KANO_W026,Bagwai,Kwajale,36255.36284780502,67,1.9838534443338909,1.8639771447272466,4.987008015861403,9.779026066324137,33558.052310466766,92.56024398745865,36255.36284780502,100.0,36255.36284780502,100.0,36255.36284780502,100.0,36255.36284780502,0.0,0.0,301
KANO_W027,Bagwai,Rimin Dako,39724.70056796074,55,1.6617782112895423,1.8639771447272466,4.8952540295529126,6.504910250658629,38132.66553759575,95.99232969008452,39724.70056796074,100.0,39724.70056796074,100.0,39724.70056796074,100.0,39724.70056796074,0.0,0.0,339
KANO_W028,Bagwai,Romo,31253.129024267197,65,3.5968259018014375,3.5562715651166754,6.176250930459941,8.97188011736032,23188.624642133713,74.1961696831328,31253.129024267197,100.0,31253.129024267197,100.0,31253.129024267197,100.0,31253.1290242672,-3.637978807091713e-12,-1.1640366647022517e-14,109
KANO_W029,Bagwai,Sare-Sare,29383.2672791481,48,2.697008300293876,3.729252157036962,6.027268871646273,7.679854641455526,25465.719014644623,86.66741779501295,29383.2672791481,100.0,29383.2672791481,100.0,29383.2672791481,100.0,29383.2672791481,0.0,0.0,207
