Method,Scenario,New_PHCs,Population_Benefiting,Pct_Total_Population_Benefiting,Baseline_Low_Quintile_Nodes_Improved,Baseline_Low_Quintile_Population_Improved,Median_Node_Improvement,P90_Node_Improvement,Maximum_Node_Improvement
Binary_15min,Top_5_New_PHCs,5,521797.21445274353,2.7797853067658838,141,237328.7410197258,0.0,0.0,6.692374949311388
Binary_15min,Top_10_New_PHCs,10,556700.6144218445,2.965727193197833,163,271057.5261480808,0.0,0.0,6.692374949311388
Binary_15min,Top_20_New_PHCs,20,687356.410675168,3.6617735740695703,287,339935.8258330822,0.0,0.0,6.692374949311388
E2SFCA_3Zone,Top_5_New_PHCs,5,521797.21445274353,2.7797853067658838,123,206385.98443746567,0.0,0.0,6.692374949311388
E2SFCA_3Zone,Top_10_New_PHCs,10,556700.6144218445,2.965727193197833,145,240114.7695658207,0.0,0.0,8.532153531854808
E2SFCA_3Zone,Top_20_New_PHCs,20,687356.410675168,3.6617735740695703,293,317301.4564156532,0.0,0.0,8.532153531854808
Gaussian_Moderate,Top_5_New_PHCs,5,521797.21445274353,2.7797853067658838,133,216992.6257789135,0.0,0.0,6.692374949311388
Gaussian_Moderate,Top_10_New_PHCs,10,556700.6144218445,2.965727193197833,157,251278.2462966442,0.0,0.0,6.692374949311388
Gaussian_Moderate,Top_20_New_PHCs,20,687356.410675168,3.6617735740695703,296,323732.5178413391,0.0,0.0,7.196315094723302
Gaussian_Strong,Top_5_New_PHCs,5,521797.21445274353,2.7797853067658838,118,168788.25314998627,0.0,0.0,6.692374949311388
Gaussian_Strong,Top_10_New_PHCs,10,556700.6144218445,2.965727193197833,143,203691.65311908722,0.0,0.0,6.726816768210171
Gaussian_Strong,Top_20_New_PHCs,20,687356.410675168,3.6617735740695703,288,278598.7467048168,0.0,0.0,7.602654057405123
